datetime,dep,tx_incidence,tx_positivite,taux_occupation_sae
2021-09-05,32,88.9,2.12,60.5
2021-09-05,44,90.9,2.03,23.8
2021-09-05,81,106.2,2.25,60.5
2021-09-05,58,39.1,1.3,21.7
2021-09-05,91,141.3,2.46,38.0
2021-09-05,02,52.8,1.48,34.0
2021-09-05,14,55.5,1.37,22.9
2021-09-05,2B,154.7,2.06,55.6
2021-09-06,35,100.5,2.28,28.4
2021-09-06,18,86.0,2.36,30.6
2021-09-06,55,74.9,1.91,21.9
2021-09-06,34,204.6,2.96,59.7
2021-09-06,51,88.5,2.26,21.9
2021-09-06,01,103.5,2.63,36.1
2021-09-06,59,118.4,2.6,34.9
2021-09-06,62,63.6,1.68,34.9
2021-09-06,80,37.7,1.22,34.9
2021-09-06,82,127.9,2.25,59.7
2021-09-06,38,119.2,2.75,36.1
2021-09-06,26,120.6,2.45,36.1
2021-09-06,70,67.8,1.8,22.2
2021-09-06,39,84.6,1.89,22.2
2021-09-06,44,90.5,2.09,25.4
2021-09-06,65,123.4,2.37,59.7
2021-09-06,21,73.8,1.86,22.2
2021-09-06,08,79.1,2.26,21.9
2021-09-06,43,92.6,2.12,36.1
2021-09-06,52,75.0,1.9,21.9
2021-09-06,971,429.8,9.79,322.2
2021-09-06,83,212.7,2.42,77.6
2021-09-06,36,65.4,1.97,30.6
2021-09-06,25,97.1,2.12,22.2
2021-09-06,40,71.8,1.93,36.9
2021-09-06,27,71.1,2.02,22.9
2021-09-06,09,190.3,3.52,59.7
2021-09-06,03,46.5,1.35,36.1
2021-09-06,91,136.5,2.44,39.7
2021-09-06,972,389.1,9.09,580.8
2021-09-06,60,90.7,1.99,34.9
2021-09-06,32,80.5,1.93,59.7
2021-09-06,63,66.8,1.86,36.1
2021-09-06,28,94.6,2.6,30.6
2021-09-06,93,179.7,2.38,39.7
2021-09-06,2B,141.0,1.96,50.0
2021-09-06,17,60.9,1.4,36.9
2021-09-06,74,152.1,2.86,36.1
2021-09-06,71,71.4,2.05,22.2
2021-09-06,67,126.7,2.11,21.9
2021-09-06,29,56.4,1.44,28.4
2021-09-06,37,68.2,1.79,30.6
2021-09-06,973,403.2,14.04,161.5
2021-09-06,12,92.3,1.91,59.7
2021-09-06,30,218.4,3.47,59.7
2021-09-06,06,212.7,2.24,77.6
2021-09-06,07,118.4,2.34,36.1
2021-09-06,92,127.8,2.03,39.7
2021-09-06,22,102.5,2.61,28.4
2021-09-06,81,96.7,2.12,59.7
2021-09-06,57,129.2,2.34,21.9
2021-09-06,77,128.1,2.19,39.7
2021-09-06,13,432.0,3.99,77.6
2021-09-06,72,59.1,1.59,25.4
